ID,ID_STATE,CITY,COUNTY,LATITUDE,LONGITUDE
2295,5,Lomita,Los Angeles,34,-118
2296,5,Lompoc,Santa Barbara,35,-120
2297,5,Lone Pine,Inyo,37,-118
2298,5,Long Barn,Tuolumne,38,-120
2299,5,Long Beach,Los Angeles,34,-118
2300,5,Lookout,Modoc,41,-121
2301,5,Loomis,Placer,39,-121
2302,5,Los Alamitos,Orange,34,-118
2303,5,Los Alamos,Santa Barbara,35,-120
2304,5,Los Altos,Santa Clara,37,-122
2305,5,Los Angeles,Los Angeles,34,-118
2306,5,Los Banos,Merced,37,-121
2307,5,Los Gatos,Santa Clara,37,-122
2308,5,Los Gatos,Santa Cruz,37,-122
2309,5,Los Molinos,Tehama,40,-122
2310,5,Los Olivos,Santa Barbara,35,-120
2311,5,Los Osos,San Luis Obispo,35,-121
2312,5,Lost Hills,Kern,36,-120
2313,5,Lotus,El Dorado,39,-121
2314,5,Lower Lake,Lake,39,-123
2315,5,Loyalton,Sierra,40,-120
2316,5,Lucerne,Lake,39,-123
2317,5,Lucerne Valley,San Bernardino,34,-117
2318,5,Ludlow,San Bernardino,35,-116
2319,5,Lynwood,Los Angeles,34,-118
2320,5,Lytle Creek,San Bernardino,34,-118
2321,5,Macdoel,Siskiyou,42,-122
2322,5,Mad River,Trinity,40,-123
2323,5,Madeline,Lassen,41,-120
2324,5,Madera,Madera,37,-120
2325,5,Madison,Yolo,39,-122
